id,ГЕРБ,БСП,ДПС,РЕФОРМАТОРСКИ БЛОК,ПФ (НФСБ-ВМРО),ББЦ,АТАКА,АБВ,Движение 21,Глас Народен,РЕПУБЛИКА БГ,ЗЕЛЕНИТЕ,Нова България,НОВА АЛТЕРНАТИВА,ОБЕДИНЕНА БЪЛГАРИЯ,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ,НДСВ,ПАРТИЯ НА ЗЕЛЕНИТЕ,ДЕСНИТЕ,ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ,НОВА СИЛА,БНС-НД,СОЦИАЛДЕМ. ПАРТИЯ,ОБЩЕСТВО ЗА НОВА БГ,НОВОТО ВРЕМЕ,независими,не подкрепям никого,невалидни,total_valid,total,eligible_voters,n_stations
2748,54,13,9,1,2,32,2,1,0,0,7,0,1,0,0,2,1,0,0,0,0.0,0,1,0.0,1,0.0,0,11,127.0,138.0,282,1
2751,19,5,71,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0.0,0,0.0,0,4,100.0,104.0,211,1
2765,15,30,45,1,12,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,13,110.0,123.0,193,1
2779,435,75,327,7,0,14,4,2,0,2,2,0,2,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0.0,0,23,871.0,894.0,1566,2
2782,37,5,18,3,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0.0,0,0,0.0,0,0.0,0,0,70.0,70.0,126,1
2796,236,74,1,42,50,38,23,11,7,1,6,5,6,3,3,3,0,4,0,3,2.0,2,2,3.0,0,0.0,0,32,525.0,557.0,1098,2
2806,1,3,1,12,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,25.0,26.0,70,1
2810,50,36,53,2,23,65,3,7,0,0,1,0,1,0,0,2,1,0,0,4,0.0,0,1,0.0,3,0.0,0,43,252.0,295.0,871,2
2823,44,118,154,2,13,4,10,5,1,0,0,1,1,0,0,2,1,1,1,1,0.0,0,2,1.0,1,0.0,0,34,363.0,397.0,690,1
2837,523,325,73,201,130,116,73,66,11,16,7,3,5,8,11,6,6,0,0,7,1.0,0,4,1.0,4,0.0,0,79,1597.0,1676.0,2933,5
2854,59,37,146,0,10,17,3,6,0,0,0,0,2,0,0,0,0,0,0,2,0.0,0,0,0.0,0,0.0,0,41,282.0,323.0,608,1
